lon,lat,island,name,island_release,ID,Grid_cell_use,oocysts_total,oocysts_normalized,WUNAME,,,,,,,,,,,
-160.1964,21.75098,niihau,niihau1,1,1,89,0,0,NA,,,,,,,,,,,
-160.1102,21.81559,niihau,niihau2,1,2,89,0,0,NA,,,,,,,,,,,
-160.0241,21.9448,niihau,niihau3,1,3,89,0,0,NA,,,,,,,,,,,
-160.0779,22.07401,niihau,niihau4,1,4,89,0,0,NA,,,,,,,,,,,
-160.1748,21.99864,niihau,niihau5,1,5,89,0,0,NA,,,,,,,,,,,
-160.2287,21.93403,niihau,niihau6,1,6,89,0,0,NA,,,,,,,,,,,
-160.2825,21.85866,niihau,niihau7,1,7,89,0,0,NA,,,,,,,,,,,
-159.5194,22.29492,kauai,wainiha_hanalei_ka,2,8,90,0,0,NA,,,,,,,,,,,
-159.3378,22.27614,kauai,halaulani_ka,2,9,90,0,0,NA,,,,,,,,,,,
-159.2596,22.02567,kauai,wailua_ka,2,10,90,0,0,NA,,,,,,,,,,,
-159.7104,21.89105,kauai,waimea_ka,2,11,90,0,0,NA,,,,,,,,,,,
-159.8376,22.09244,kauai,kauai1,2,12,89,0,0,NA,,,,,,,,,,,
-159.7689,22.20702,kauai,kauai2,2,13,90,0,0,NA,,,,,,,,,,,
-159.6543,22.27576,kauai,kauai3,2,14,90,0,0,NA,,,,,,,,,,,
-159.4022,22.29868,kauai,kauai4,2,15,90,0,0,NA,,,,,,,,,,,
-159.2075,22.16118,kauai,kauai5,2,16,90,0,0,NA,,,,,,,,,,,
-159.2647,21.88619,kauai,kauai6,2,17,90,0,0,NA,,,,,,,,,,,
-159.3679,21.81745,kauai,kauai7,2,18,90,0,0,NA,,,,,,,,,,,
-159.5054,21.81745,kauai,kauai8,2,19,90,0,0,NA,,,,,,,,,,,
-159.6085,21.85182,kauai,kauai9,2,20,90,0,0,NA,,,,,,,,,,,
-159.7689,21.95494,kauai,kauai10,2,21,90,0,0,NA,,,,,,,,,,,
-158.2335,21.66849,oahu,oahu1,3,22,91,2066.201054,0.014645525,Kawaihapai,,,,,,,,,,,
-158.2908,21.57683,oahu,oahu2,3,23,77,892.3280179,0.004505562,multiple,,,,,,,,,,,
-158.2106,21.38204,oahu,oahu3,3,24,77,24403.69642,0.207597728,multiple,,,,,,,,,,,
-158.1419,21.26747,oahu,oahu4,3,25,78,16541.72428,0.13968569,Makaiwa,,,,,,,,,,,
-157.7637,21.22163,oahu,oahu5,3,26,78,14920.81872,0.125684241,multiple,,,,,,,,,,,
-157.6148,21.21018,oahu,oahu6,3,27,78,370.732676,0,Hanauma,,,,,,,,,,,
-157.5919,21.30184,oahu,oahu7,3,28,78,3321.975173,0.025492954,multiple,,,,,,,,,,,
-157.6492,21.45079,oahu,oahu8,3,29,78,14629.26162,0.123165759,multiple,,,,,,,,,,,
-157.8898,21.71432,oahu,oahu9,3,30,92,7709.73495,0.063394603,multiple,,,,,,,,,,,
-157.97,21.77161,oahu,oahu10,3,31,92,6113.428973,0.049605646,multiple,,,,,,,,,,,
-158.0617,21.76016,oahu,oahu11,3,32,92,2879.180118,0.021668072,multiple,,,,,,,,,,,
-158.1102,21.70413,oahu,kamananui_oa,3,33,92,3545.176665,0.027420978,multiple,,,,,,,,,,,
-158.1666,21.65717,oahu,wahiawa_wailua_oa,3,34,78,62590.37707,0.537455843,multiple,,,,,,,,,,,
-158.2824,21.44114,oahu,makaha_oa,3,35,77,10939.35387,0.091292184,multiple,,,,,,,,,,,
-157.8541,21.22437,oahu,alawai_oa,3,36,78,20434.47782,0.173311455,multiple,,,,,,,,,,,
-157.9064,21.26621,oahu,kalihi_oa,3,37,78,37635.36413,0.321893417,multiple,,,,,,,,,,,
-157.9508,21.27929,oahu,halawa_oa,3,38,78,116137.7211,1,multiple,,,,,,,,,,,
-157.9927,21.27406,oahu,waikele_oa,3,39,78,10578.78851,0.088177605,Kaloi_half,,,,,,,,,,,
-158.0214,21.27668,oahu,honouliuli_oa,3,40,78,10578.78851,0.088177605,Kaloi_half,,,,,,,,,,,
-157.8332,21.63844,oahu,kaluanui_oa,3,41,78,2356.719226,0.017155033,multiple,,,,,,,,,,,
-157.8181,21.61089,oahu,punaluu_oa,3,42,78,1548.483882,0.010173463,multiple,,,,,,,,,,,
-157.7956,21.58835,oahu,kahana_oa,3,43,78,2266.443821,0.016375231,multiple,,,,,,,,,,,
-157.8056,21.49818,oahu,kahaluu_oa,3,44,78,10533.07006,0.087782688,multiple,,,,,,,,,,,
-157.7806,21.44058,oahu,kaneohe_bay_oa,3,45,78,13725.82325,0.115361821,multiple,,,,,,,,,,,
-157.6353,21.37545,oahu,waimanalo_oa,3,46,78,13919.57024,0.117035415,multiple,,,,,,,,,,,
-157.3169,21.22163,molokai,molokai1,4,47,79,0,0,NA,,,,,,,,,,,
-157.2252,21.26747,molokai,molokai2,4,48,79,0,0,NA,,,,,,,,,,,
-157.0877,21.26747,molokai,molokai3,4,49,79,0,0,NA,,,,,,,,,,,
-156.9502,21.26747,molokai,molokai4,4,50,79,0,0,NA,,,,,,,,,,,
-156.8127,21.24455,molokai,molokai5,4,51,79,0,0,NA,,,,,,,,,,,
-156.7211,21.04976,molokai,molokai6,4,52,79,0,0,NA,,,,,,,,,,,
-156.8127,21.01539,molokai,molokai7,4,53,79,0,0,NA,,,,,,,,,,,
-157.145,21.02685,molokai,molokai8,4,54,79,0,0,NA,,,,,,,,,,,
-157.3513,21.10705,molokai,molokai9,4,55,79,0,0,NA,,,,,,,,,,,
-156.6668,21.18924,molokai,halawa_mo,4,56,79,0,0,NA,,,,,,,,,,,
-157.0576,21.01506,molokai,kaunakakai_mo,4,57,79,0,0,NA,,,,,,,,,,,
-156.9493,20.99623,molokai,kawela_mo,4,58,79,0,0,NA,,,,,,,,,,,
-157.0648,20.80915,lanai,lanai1,5,59,65,0,0,NA,,,,,,,,,,,
-157.019,20.72894,lanai,lanai2,5,60,65,0,0,NA,,,,,,,,,,,
-156.8929,20.67165,lanai,lanai3,5,61,65,0,0,NA,,,,,,,,,,,
-156.7669,20.71748,lanai,lanai4,5,62,65,0,0,NA,,,,,,,,,,,
-156.744,20.93518,lanai,lanai5,5,63,79,0,0,NA,,,,,,,,,,,
-156.8586,20.96956,lanai,lanai6,5,64,65,0,0,NA,,,,,,,,,,,
-156.4805,20.44249,kahoolawe,kahoolawe1,6,65,66,0,0,NA,,,,,,,,,,,
-156.6294,20.44249,kahoolawe,kahoolawe2,6,66,65,0,0,NA,,,,,,,,,,,
-156.7669,20.48833,kahoolawe,kahoolawe3,6,67,65,0,0,NA,,,,,,,,,,,
-156.7096,20.63728,kahoolawe,kahoolawe4,6,68,65,0,0,NA,,,,,,,,,,,
-156.6104,21.09509,maui,honokohau_ma,7,69,79,0,0,NA,,,,,,,,,,,
-156.5021,21.05743,maui,kahakuloa_ma,7,70,80,0,0,NA,,,,,,,,,,,
-156.4409,20.98682,maui,wailuku_ma,7,71,80,0,0,NA,,,,,,,,,,,
-156.1773,20.98211,maui,honopou_ma,7,72,80,0,0,NA,,,,,,,,,,,
-156.1208,20.92562,maui,honomanu_ma,7,73,80,0,0,NA,,,,,,,,,,,
-156.0878,20.89738,maui,wailuaiki_ma,7,74,80,0,0,NA,,,,,,,,,,,
-156.0408,20.88796,maui,hanawai_ma,7,75,80,0,0,NA,,,,,,,,,,,
-155.989,20.58668,maui,oheo_gulch_ma,7,76,66,0,0,NA,,,,,,,,,,,
-156.7469,20.86913,maui,kahoma_ma,7,77,65,0,0,NA,,,,,,,,,,,
-156.728,20.81735,maui,kauaula_ma,7,78,65,0,0,NA,,,,,,,,,,,
-156.5721,20.68311,maui,maui1,7,79,65,0,0,NA,,,,,,,,,,,
-156.4805,20.57999,maui,maui2,7,80,66,0,0,NA,,,,,,,,,,,
-156.2513,20.5227,maui,maui3,7,81,66,0,0,NA,,,,,,,,,,,
-156.1253,20.56853,maui,maui4,7,82,66,0,0,NA,,,,,,,,,,,
-155.8961,20.71748,maui,maui5,7,83,66,0,0,NA,,,,,,,,,,,
